Loại,Mã,Ngày trước,Ngày sau,Số ngày ngưng GD,Return,Close trước,Close sau
Sau ngưng GD dài,APG,2016-11-22,2016-11-30,5.0,21.69%,,
Không cần gap,APG,2016-08-10,2016-08-11,,10.02%,4.99,5.49
Không cần gap,APG,2016-11-01,2016-11-02,,-10.02%,4.49,4.04
Không cần gap,APG,2016-11-22,2016-11-30,,21.69%,3.55,4.32
Không cần gap,ORS,2018-05-29,2018-05-30,,10.89%,1.01,1.12
Không cần gap,ORS,2019-04-01,2019-04-02,,-10.24%,2.54,2.28
Không cần gap,ORS,2019-04-18,2019-04-22,,-14.75%,2.44,2.08
Không cần gap,ORS,2019-05-21,2019-05-22,,11.81%,2.54,2.84
Không cần gap,ORS,2019-05-22,2019-05-23,,14.44%,2.84,3.25
Không cần gap,ORS,2019-05-23,2019-05-24,,13.85%,3.25,3.7
Không cần gap,ORS,2019-06-24,2019-06-25,,10.61%,3.3,3.65
Không cần gap,ORS,2019-06-25,2019-06-26,,-13.70%,3.65,3.15
Không cần gap,ORS,2019-10-03,2019-10-04,,12.70%,3.15,3.55
Không cần gap,ORS,2019-10-04,2019-10-07,,12.96%,3.55,4.01
Không cần gap,ORS,2019-10-08,2019-10-09,,-10.35%,3.96,3.55
Không cần gap,ORS,2020-02-27,2020-02-28,,10.95%,2.74,3.04
Không cần gap,ORS,2020-03-02,2020-03-03,,14.06%,3.2,3.65
Không cần gap,ORS,2020-03-06,2020-03-09,,-13.73%,3.35,2.89
Không cần gap,ORS,2020-03-09,2020-03-10,,10.73%,2.89,3.2
Không cần gap,ORS,2020-03-27,2020-03-30,,-13.64%,2.64,2.28
Không cần gap,ORS,2020-03-30,2020-03-31,,-10.96%,2.28,2.03
Không cần gap,ORS,2020-04-16,2020-04-17,,13.51%,2.59,2.94
Không cần gap,ORS,2020-04-23,2020-04-27,,-10.20%,2.94,2.64
Không cần gap,ORS,2020-06-15,2020-06-16,,13.33%,3.45,3.91
Không cần gap,ORS,2020-06-16,2020-06-17,,-11.76%,3.91,3.45
Không cần gap,ORS,2020-06-18,2020-06-19,,10.29%,3.5,3.86
Không cần gap,ORS,2020-09-03,2020-09-04,,11.23%,3.65,4.06
Không cần gap,ORS,2021-01-27,2021-01-28,,-14.24%,6.46,5.54
Không cần gap,ORS,2021-03-22,2021-03-23,,12.17%,7.64,8.57
Không cần gap,ORS,2021-03-23,2021-03-24,,11.90%,8.57,9.59
Không cần gap,ORS,2021-04-07,2021-04-08,,10.74%,9.59,10.62
Không cần gap,ORS,2021-05-28,2021-05-31,,11.64%,13.23,14.77
Không cần gap,ORS,2021-06-02,2021-06-03,,10.50%,16.57,18.31
Không cần gap,ORS,2021-06-08,2021-06-09,,11.23%,14.16,15.75
Không cần gap,ORS,2021-06-09,2021-06-10,,12.06%,15.75,17.65
Không cần gap,ORS,2021-06-10,2021-06-11,,14.79%,17.65,20.26
Không cần gap,VDS,2017-07-07,2017-07-10,,10.02%,4.79,5.27
Không cần gap,VIX,2018-02-12,2018-02-13,,-10.30%,1.65,1.48
Không cần gap,VIX,2020-07-27,2020-07-28,,10.10%,1.98,2.18
