rank,mean,std,median,win_rate,n
1,0.009402124561785116,0.07308653402875158,0.0031347962382446415,0.5114461194863205,1791
2,0.009216892693661867,0.06793398101563856,0.004192872117400492,0.5211422295442065,1821
3,0.008539752108229354,0.06997940051972178,0.0028510566741498655,0.5076838638858397,1822
4,0.004639618231946011,0.06889002777068916,0.0,0.4977949283351709,1814
5,0.006477967500861588,0.06986238040076391,0.002997342423664673,0.5137061403508771,1824
6,0.006879286239624884,0.06866749547436658,0.0033370411568409697,0.5140341221794166,1817
7,0.006651076889753491,0.07186199349382362,0.003252041118490645,0.5204194260485652,1812
8,0.00702380539176986,0.07143221207114878,0.003676470588235281,0.5206384149697303,1817
9,0.006443670770776704,0.06968209587162878,0.004261828032320003,0.5227021040974529,1806
10,0.006390993579648859,0.07191322197419285,0.0,0.48705234159779615,1815
11,0.005309125104597208,0.07877679812927929,0.0,0.4872080088987764,1798
