time,open,high,low,close,volume,SMA_10,RSI_14,lag_1,lag_5
2016-07-15,1.15,1.18,1.15,1.17,1029570.0,1.19,74.70896352161198,1.15,1.22
2016-07-18,1.18,1.2,1.17,1.18,552435.0,1.1909999999999998,75.34619668694424,1.17,1.15
2016-07-19,1.18,1.23,1.17,1.2,1881403.0,1.1909999999999998,76.61524802129222,1.18,1.18
2016-07-20,1.22,1.22,1.17,1.18,779119.0,1.186,72.5911932615284,1.2,1.2
2016-07-21,1.18,1.18,1.15,1.15,702320.0,1.178,66.91390449198445,1.18,1.15
2016-07-22,1.15,1.18,1.14,1.18,1495393.0,1.174,69.48410958213132,1.15,1.17
2016-07-25,1.18,1.2,1.18,1.2,708790.0,1.1789999999999998,71.09613401345058,1.18,1.18
2016-07-26,1.18,1.2,1.17,1.18,334550.0,1.1789999999999998,67.26923714180472,1.2,1.2
2016-07-27,1.18,1.2,1.15,1.15,684550.0,1.174,61.88798822976864,1.18,1.18
2016-07-28,1.17,1.18,1.14,1.15,1096153.0,1.174,61.88798822976865,1.15,1.15
2016-07-29,1.15,1.17,1.14,1.15,503797.0,1.172,61.887988229768645,1.15,1.18
2016-08-01,1.14,1.14,1.1,1.1,877472.0,1.164,53.05346474498364,1.15,1.2
2016-08-02,1.09,1.09,1.04,1.06,1572595.0,1.1500000000000001,47.24326171520539,1.1,1.18
2016-08-03,1.06,1.09,1.06,1.09,936923.0,1.141,51.5306307946796,1.06,1.15
2016-08-04,1.09,1.09,1.07,1.07,1017799.0,1.133,48.68980629096288,1.09,1.15
2016-08-05,1.06,1.06,1.01,1.04,585820.0,1.119,44.70833670943677,1.07,1.15
2016-08-08,1.04,1.04,1.03,1.03,230385.0,1.1019999999999999,43.433388633372694,1.04,1.1
2016-08-09,1.03,1.06,1.03,1.06,180565.0,1.0899999999999999,48.20532893897765,1.03,1.06
2016-08-10,1.06,1.06,1.03,1.06,297970.0,1.081,48.20532893897765,1.06,1.09
2016-08-11,1.06,1.09,1.04,1.07,547792.0,1.073,49.84113076473654,1.06,1.07
2016-08-12,1.07,1.07,1.03,1.04,477752.0,1.062,45.22642701066974,1.07,1.04
2016-08-15,1.03,1.06,1.03,1.04,254890.0,1.056,45.226427010669745,1.04,1.03
2016-08-16,1.06,1.09,1.04,1.06,632161.0,1.056,48.885555756499976,1.04,1.06
2016-08-17,1.06,1.06,1.04,1.04,239675.0,1.051,45.60460296824562,1.06,1.06
2016-08-18,1.04,1.04,1.03,1.04,332467.0,1.048,45.60460296824562,1.04,1.07
2016-08-19,1.04,1.04,1.01,1.01,465944.0,1.045,40.83666774324462,1.04,1.04
2016-08-22,1.01,1.01,0.96,0.96,746131.0,1.038,34.384347831099895,1.01,1.04
2016-08-23,0.96,0.98,0.96,0.96,399571.0,1.028,34.3843478310999,0.96,1.06
2016-08-24,0.96,0.99,0.96,0.96,353870.0,1.018,34.384347831099895,0.96,1.04
2016-08-25,0.96,0.98,0.95,0.96,266310.0,1.007,34.38434783109989,0.96,1.04
2016-08-26,0.96,1.03,0.96,1.01,780423.0,1.004,45.884989582756965,0.96,1.01
2016-08-29,1.03,1.03,0.96,0.96,303607.0,0.9959999999999999,38.59918605548287,1.01,0.96
2016-08-30,0.98,0.98,0.96,0.98,262563.0,0.9879999999999999,42.530086428179864,0.96,0.96
2016-08-31,0.98,0.99,0.96,0.96,208105.0,0.9799999999999999,39.78697462451027,0.98,0.96
2016-09-01,0.98,0.99,0.96,0.98,495411.0,0.9739999999999999,43.69770626597637,0.96,0.96
2016-09-05,0.96,0.96,0.92,0.93,884982.0,0.9659999999999999,37.19394612270611,0.98,1.01
2016-09-06,0.93,0.93,0.9,0.9,520414.0,0.9599999999999999,33.930804205587414,0.93,0.96
2016-09-07,0.9,0.9,0.88,0.88,549735.0,0.9519999999999998,31.92021678539319,0.9,0.98
2016-09-08,0.88,0.93,0.88,0.9,614985.0,0.9459999999999998,36.00403218517524,0.88,0.96
2016-09-09,0.92,0.95,0.9,0.95,870755.0,0.9449999999999998,44.902311072003904,0.9,0.98
2016-09-12,0.95,0.95,0.9,0.93,359402.0,0.9369999999999999,42.364825958308614,0.95,0.93
2016-09-13,0.92,0.92,0.9,0.9,414005.0,0.9309999999999999,38.82096198026101,0.93,0.9
2016-09-14,0.82,0.88,0.82,0.85,761435.0,0.9179999999999999,33.7531615027442,0.9,0.88
2016-09-15,0.85,0.88,0.85,0.88,535005.0,0.9099999999999999,38.9064505937449,0.85,0.9
2016-09-16,0.8,0.9,0.8,0.87,691954.0,0.8989999999999999,37.84952784867601,0.88,0.95
2016-09-19,0.87,0.9,0.87,0.87,208770.0,0.8929999999999999,37.84952784867602,0.87,0.93
2016-09-20,0.88,0.88,0.87,0.87,231359.0,0.8899999999999999,37.84952784867602,0.87,0.9
2016-09-21,0.88,0.88,0.87,0.88,171500.0,0.8899999999999999,39.889053847187206,0.87,0.85
2016-09-22,0.87,0.9,0.87,0.88,304000.0,0.8879999999999999,39.889053847187206,0.88,0.88
2016-09-23,0.88,0.93,0.88,0.9,417742.0,0.8829999999999999,44.14090516933507,0.88,0.87
2016-09-26,0.9,0.92,0.87,0.87,553655.0,0.8769999999999999,39.614488765729625,0.9,0.87
2016-09-27,0.87,0.88,0.87,0.87,225973.0,0.8739999999999999,39.61448876572963,0.87,0.87
2016-09-28,0.87,0.93,0.87,0.9,412983.0,0.8789999999999999,46.03269102370109,0.87,0.88
2016-09-29,0.88,0.92,0.88,0.9,652330.0,0.8809999999999999,46.032691023701084,0.9,0.88
2016-09-30,0.9,0.9,0.87,0.9,624300.0,0.8839999999999999,46.03269102370109,0.9,0.9
2016-10-03,0.9,0.9,0.87,0.87,399054.0,0.8839999999999999,40.63799504635175,0.9,0.87
2016-10-04,0.88,0.95,0.88,0.92,1469081.0,0.8889999999999999,50.95451214731301,0.87,0.87
2016-10-05,0.92,0.96,0.92,0.95,811922.0,0.8959999999999999,55.906043616314506,0.92,0.9
2016-10-06,0.95,0.96,0.92,0.95,633607.0,0.9029999999999999,55.906043616314506,0.95,0.9
2016-10-07,0.95,0.96,0.93,0.93,601762.0,0.9059999999999999,51.8580936136578,0.95,0.9
2016-10-10,0.93,0.95,0.92,0.93,372273.0,0.9119999999999999,51.8580936136578,0.93,0.87
2016-10-11,0.93,0.93,0.92,0.93,467800.0,0.9179999999999999,51.8580936136578,0.93,0.92
2016-10-12,0.93,0.96,0.93,0.93,663032.0,0.9209999999999999,51.85809361365779,0.93,0.95
2016-10-13,0.96,0.99,0.95,0.98,317587.0,0.9289999999999998,61.28439241487904,0.93,0.95
2016-10-14,0.98,1.01,0.96,0.96,261130.0,0.9349999999999999,56.51739689713748,0.98,0.93
2016-10-17,0.96,0.99,0.95,0.98,332006.0,0.946,59.87832054211709,0.96,0.93
2016-10-18,0.98,0.98,0.96,0.98,376550.0,0.952,59.87832054211709,0.98,0.93
2016-10-19,0.96,0.99,0.96,0.99,517898.0,0.956,61.599474232532245,0.98,0.93
2016-10-20,0.98,0.99,0.98,0.99,522900.0,0.96,61.59947423253224,0.99,0.98
2016-10-21,0.98,0.99,0.98,0.98,454522.0,0.9649999999999999,58.68002962421631,0.99,0.96
2016-10-24,0.98,0.99,0.98,0.98,766702.0,0.9699999999999999,58.68002962421631,0.98,0.98
2016-10-25,0.96,0.99,0.96,0.98,456488.0,0.9749999999999999,58.68002962421631,0.98,0.98
2016-10-26,0.96,0.98,0.96,0.96,488955.0,0.9779999999999999,52.46840577623971,0.98,0.99
2016-10-27,0.96,0.96,0.93,0.93,298785.0,0.9729999999999999,44.80657562006232,0.96,0.99
2016-10-28,0.93,0.96,0.93,0.95,341735.0,0.9719999999999999,50.04397781666073,0.93,0.98
2016-10-31,0.95,0.95,0.93,0.93,201953.0,0.9669999999999999,45.40408258459598,0.95,0.98
2016-11-01,0.95,0.96,0.95,0.96,146670.0,0.9649999999999999,52.51589866889734,0.93,0.98
2016-11-02,0.95,0.95,0.93,0.95,131095.0,0.9609999999999999,50.16990386261391,0.96,0.96
2016-11-03,0.93,0.96,0.93,0.95,334483.0,0.957,50.16990386261391,0.95,0.93
2016-11-04,0.95,0.95,0.93,0.95,242730.0,0.954,50.1699038626139,0.95,0.95
2016-11-07,0.95,0.96,0.93,0.96,172625.0,0.952,52.8032180708611,0.95,0.93
2016-11-08,0.96,0.96,0.93,0.96,303130.0,0.95,52.80321807086109,0.96,0.96
2016-11-09,0.95,0.95,0.9,0.93,208820.0,0.9469999999999998,44.602358058274746,0.96,0.95
2016-11-10,0.93,0.95,0.93,0.95,341500.0,0.9489999999999998,50.159768613438416,0.93,0.95
2016-11-11,0.95,0.96,0.93,0.96,135793.0,0.9499999999999998,52.71404592892169,0.95,0.95
2016-11-14,0.95,0.95,0.92,0.95,117870.0,0.9519999999999998,49.956849412110564,0.96,0.96
2016-11-15,0.95,0.95,0.95,0.95,91912.0,0.9509999999999998,49.95684941211055,0.95,0.96
2016-11-16,0.95,0.96,0.95,0.95,100800.0,0.951,49.95684941211055,0.95,0.93
2016-11-17,0.95,0.95,0.95,0.95,88233.0,0.951,49.95684941211056,0.95,0.95
2016-11-18,0.95,0.95,0.93,0.95,235492.0,0.9509999999999998,49.956849412110564,0.95,0.96
2016-11-21,0.95,0.96,0.95,0.96,93110.0,0.9509999999999998,53.48130702114628,0.95,0.95
2016-11-22,0.95,0.95,0.93,0.93,223260.0,0.9479999999999998,43.56795067099777,0.96,0.95
2016-11-23,0.93,0.95,0.93,0.95,44172.0,0.9499999999999998,50.195873690485726,0.93,0.95
2016-11-24,0.93,0.95,0.93,0.95,108561.0,0.9499999999999998,50.19587369048572,0.95,0.95
2016-11-25,0.93,0.93,0.92,0.92,66760.0,0.9459999999999998,41.679824829711535,0.95,0.95
2016-11-28,0.92,0.92,0.87,0.88,162429.0,0.9389999999999998,33.51521317170383,0.92,0.96
2016-11-29,0.88,0.9,0.88,0.9,33969.0,0.9339999999999999,39.85882029614029,0.88,0.93
2016-11-30,0.9,0.9,0.87,0.87,75592.0,0.9259999999999999,34.53578578495815,0.9,0.95
2016-12-01,0.87,0.88,0.87,0.87,142300.0,0.9179999999999998,34.53578578495814,0.87,0.95
2016-12-02,0.87,0.87,0.85,0.87,175069.0,0.9099999999999999,34.53578578495814,0.87,0.92
2016-12-05,0.9,0.9,0.84,0.9,77163.0,0.9039999999999999,43.89409633604261,0.87,0.88
2016-12-06,0.87,0.9,0.85,0.88,121450.0,0.8989999999999999,39.80843792123789,0.9,0.9
2016-12-07,0.85,0.85,0.84,0.85,304350.0,0.8889999999999999,34.6052045509867,0.88,0.87
2016-12-08,0.85,0.87,0.84,0.85,253138.0,0.8789999999999999,34.605204550986706,0.85,0.87
2016-12-09,0.85,0.85,0.82,0.84,132899.0,0.8709999999999999,32.94072146086006,0.85,0.87
2016-12-12,0.82,0.84,0.82,0.82,56901.0,0.8649999999999999,29.84847053571409,0.84,0.9
2016-12-13,0.79,0.84,0.76,0.84,538440.0,0.8589999999999999,36.28925799243292,0.82,0.88
2016-12-14,0.84,0.85,0.77,0.85,353425.0,0.8569999999999999,39.29058001639536,0.84,0.85
2016-12-15,0.84,0.88,0.82,0.88,346718.0,0.8579999999999999,47.30985753197684,0.85,0.85
2016-12-16,0.87,0.88,0.87,0.87,282000.0,0.8579999999999999,45.16808066097849,0.88,0.84
2016-12-19,0.87,0.92,0.82,0.92,371030.0,0.8599999999999999,55.914684213318715,0.87,0.82
2016-12-20,0.93,0.93,0.88,0.88,84238.0,0.8599999999999999,47.837166842966134,0.92,0.84
2016-12-21,0.9,0.9,0.87,0.9,60050.0,0.8649999999999999,51.601906638720266,0.88,0.85
2016-12-22,0.88,0.9,0.87,0.87,27574.0,0.8669999999999999,46.21396406709761,0.9,0.88
2016-12-23,0.87,0.87,0.87,0.87,6695.0,0.8699999999999999,46.2139640670976,0.87,0.87
2016-12-26,0.85,0.88,0.85,0.85,13700.0,0.8729999999999999,42.76180097611073,0.87,0.92
2016-12-27,0.85,0.87,0.84,0.85,73564.0,0.8739999999999999,42.761800976110734,0.85,0.88
2016-12-28,0.84,0.87,0.84,0.85,33107.0,0.8739999999999999,42.761800976110734,0.85,0.9
2016-12-29,0.87,0.9,0.84,0.87,56550.0,0.8729999999999999,47.646294708708204,0.85,0.87
